word,definition
close_shave,something achieved (or escaped) by a narrow margin
squeak,something achieved (or escaped) by a narrow margin
squeaker,something achieved (or escaped) by a narrow margin
narrow_escape,something achieved (or escaped) by a narrow margin
surfacing,emerging to the surface and becoming apparent
dispatch,the act of sending off something
despatch,the act of sending off something
shipment,the act of sending off something
reshipment,the act of shipping again (especially by transferring to another ship)
consummation,the act of bringing to completion or fruition
consummation,the completion of marriage by sexual intercourse
realization,something that is made real or concrete
realisation,something that is made real or concrete
fruition,something that is made real or concrete
orgasm,the moment of most intense pleasure in sexual intercourse
climax,the moment of most intense pleasure in sexual intercourse
sexual_climax,the moment of most intense pleasure in sexual intercourse
coming,the moment of most intense pleasure in sexual intercourse
male_orgasm,an orgasm accompanied by the sensation of ejaculation of semen
fulfillment,the act of consummating something (a desire or promise etc)
fulfilment,the act of consummating something (a desire or promise etc)
self-fulfillment,the fulfillment of your capacities
self-realization,the fulfillment of your capacities
self-realisation,the fulfillment of your capacities
attainment,the act of achieving an aim
record,an extreme attainment; the best (or worst) performance ever attested (as in a sport)
track_record,the fastest time ever recorded for a specific distance at a particular racetrack
world_record,the best record in the whole world
success,an attainment that is successful
winning,succeeding with great difficulty
blockbuster,an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)
megahit,an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)
smash_hit,an unusually successful hit with widespread popularity and huge sales (especially a movie or play or recording or novel)
sleeper,an unexpected hit
hit,a conspicuous success
smash,a conspicuous success
smasher,a conspicuous success
strike,a conspicuous success
bang,a conspicuous success
bell_ringer,something that exactly succeeds in achieving its goal
bull's_eye,something that exactly succeeds in achieving its goal
mark,something that exactly succeeds in achieving its goal
home_run,something that exactly succeeds in achieving its goal
ennoblement,the act of raising someone to the nobility
conquest,success in mastering something difficult
coup,a brilliant and notable success
flying_colors,complete success
flying_colours,complete success
passing,success in satisfying a test or requirement
pass,success in satisfying a test or requirement
qualifying,success in satisfying a test or requirement
credit,recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours
course_credit,recognition by a college or university that a course of studies has been successfully completed; typically measured in semester hours
semester_hour,a unit of academic credit; one hour a week for an academic semester
credit_hour,a unit of academic credit; one hour a week for an academic semester
nonaccomplishment,an act that does not achieve its intended goal
nonachievement,an act that does not achieve its intended goal
failure,an unexpected omission
failure,an act that fails
failing,failure to reach a minimum required performance
flunk,failure to reach a minimum required performance
naught,complete failure
cut,an unexcused absence from class
default,loss due to not showing up
loss,the act of losing someone or something
capitulation,the act of surrendering (usually under agreed conditions)
fall,the act of surrendering (usually under agreed conditions)
surrender,the act of surrendering (usually under agreed conditions)
frustration,an act of hindering someone's plans or efforts
thwarting,an act of hindering someone's plans or efforts
foiling,an act of hindering someone's plans or efforts
overturn,an improbable and unexpected victory
upset,an improbable and unexpected victory
backsliding,a failure to maintain a higher state
lapse,a failure to maintain a higher state
lapsing,a failure to maintain a higher state
relapse,a failure to maintain a higher state
relapsing,a failure to maintain a higher state
reversion,a failure to maintain a higher state
reverting,a failure to maintain a higher state
recidivism,habitual relapse into crime
disappointment,an act (or failure to act) that disappoints someone
dashing_hopes,an act (or failure to act) that disappoints someone
breach,a failure to perform some promised act or obligation
copout,a failure to face some difficulty squarely
breach_of_contract,a breach of a legal duty; failure to do something that is required in a contract
anticipatory_breach,a breach of contract committed prior to the time of required performance
constructive_breach,a breach of contract committed prior to the time of required performance
breach_of_duty,a breach of due care
breach_of_the_covenant_of_warranty,a failure of the seller's guarantee of good title
breach_of_promise,failure to keep a promise (of marriage)
breach_of_trust,violation (either through fraud or negligence) by a trustee of a duty that equity requires of him
breach_of_trust_with_fraudulent_intent,larceny after trust rather than after unlawful taking
breach_of_warranty,a breach that occurs when an item is deficient according to the terms of a warranty
leaning,the act of deviating from a vertical position
material_breach,a breach serious enough to destroy the value of the contract and to give a basis for an action for breach of contract
motivation,the act of motivating; providing incentive
motivating,the act of motivating; providing incentive
partial_breach,a breach that does not destroy the value of the contract but can give rise to a claim for damages
mistake,a wrong action attributable to bad judgment or ignorance or inattention
error,a wrong action attributable to bad judgment or ignorance or inattention
fault,a wrong action attributable to bad judgment or ignorance or inattention
double_fault,(tennis) two successive faults in serving resulting in the loss of the point
footfault,a fault that occurs when the server in tennis fails to keep both feet behind the baseline
bobble,the momentary juggling of a batted or thrown baseball
error,(baseball) a failure of a defensive player to make an out when normal play would have sufficed
misplay,(baseball) a failure of a defensive player to make an out when normal play would have sufficed
blot,an act that brings discredit to the person who does it
smear,an act that brings discredit to the person who does it
smirch,an act that brings discredit to the person who does it
spot,an act that brings discredit to the person who does it
stain,an act that brings discredit to the person who does it
confusion,a mistake that results from taking one thing to be another
mix-up,a mistake that results from taking one thing to be another
incursion,the mistake of incurring liability or blame
miscalculation,a mistake in calculating
misreckoning,a mistake in calculating
misestimation,a mistake in calculating
backfire,a miscalculation that recoils on its maker
boomerang,a miscalculation that recoils on its maker
rounding,(mathematics) a miscalculation that results from rounding off numbers to a convenient number of decimals
rounding_error,(mathematics) a miscalculation that results from rounding off numbers to a convenient number of decimals
truncation_error,(mathematics) a miscalculation that results from cutting off a numerical calculation before it is finished
distortion,the mistake of misrepresenting the facts
slip,a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
slip-up,a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
miscue,a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
parapraxis,a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
Freudian_slip,a slip-up that (according to Sigmund Freud) results from the operation of unconscious wishes or conflicts and can reveal unconscious processes in normal healthy individuals
offside,"(sport) the mistake of occupying an illegal position on the playing field (in football, soccer, ice hockey, field hockey, etc.)"
oversight,a mistake resulting from inattention
lapse,a mistake resulting from inattention
omission,a mistake resulting from neglect
skip,a mistake resulting from neglect
blunder,an embarrassing mistake
blooper,an embarrassing mistake
bloomer,an embarrassing mistake
bungle,an embarrassing mistake
pratfall,an embarrassing mistake
foul-up,an embarrassing mistake
fuckup,an embarrassing mistake
flub,an embarrassing mistake
botch,an embarrassing mistake
boner,an embarrassing mistake
boo-boo,an embarrassing mistake
snafu,an acronym often used by soldiers in World War II: situation normal all fucked up
spectacle,a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself
ballup,something badly botched or muddled
balls-up,something badly botched or muddled
cockup,something badly botched or muddled
mess-up,something badly botched or muddled
bull,a serious and ludicrous blunder
fumble,(sports) dropping the ball
muff,(sports) dropping the ball
fluff,a blunder (especially an actor's forgetting the lines)
faux_pas,a socially awkward or tactless act
gaffe,a socially awkward or tactless act
solecism,a socially awkward or tactless act
slip,a socially awkward or tactless act
gaucherie,a socially awkward or tactless act
howler,a glaring blunder
clanger,a conspicuous mistake whose effects seem to reverberate
trip,an unintentional but embarrassing blunder
trip-up,an unintentional but embarrassing blunder
stumble,an unintentional but embarrassing blunder
misstep,an unintentional but embarrassing blunder
spill,a sudden drop from an upright position
tumble,a sudden drop from an upright position
fall,a sudden drop from an upright position
pratfall,a fall onto your buttocks
wipeout,a spill in some sport (as a fall from a bicycle or while skiing or being capsized on a surfboard)
acquisition,the act of contracting or assuming or acquiring possession of something
obtainment,the act of obtaining
obtention,the act of obtaining
catching,becoming infected
contracting,becoming infected
incurring,acquiring or coming into something (usually undesirable)
moneymaking,the act of making money (and accumulating wealth)
annexation,the formal act of acquiring something (especially territory) by conquest or occupation
pork-barreling,acquisition of government money for benefits to a specific locale
purchase,the acquisition of something for payment
redemption,the act of purchasing back something previously sold
repurchase,the act of purchasing back something previously sold
buyback,the act of purchasing back something previously sold
trading,buying or selling securities or commodities
bond_trading,trading in bonds (usually by a broker on the floor of an exchange)
bond-trading_activity,trading in bonds (usually by a broker on the floor of an exchange)
program_trading,a trading technique involving large blocks of stock with trades triggered by computer programs
short_sale,sale of securities or commodity futures not owned by the seller (who hopes to buy them back later at a lower price)
short_selling,sale of securities or commodity futures not owned by the seller (who hopes to buy them back later at a lower price)
short_covering,the purchase of securities or commodities by a short seller to close out a short sale
insider_trading,buying or selling corporate stock by a corporate officer or other insider on the basis of information that has not been made public and is supposed to remain confidential
naked_option,a put or call option for which the seller or buyer has no underlying security position
covered_option,a put or call option backed by the shares underlying the option
call_option,the option to buy a given stock (or stock index or commodity future) at a given price before a given date
call,the option to buy a given stock (or stock index or commodity future) at a given price before a given date
put_option,the option to sell a given stock (or stock index or commodity future) at a given price before a given date
put,the option to sell a given stock (or stock index or commodity future) at a given price before a given date
straddle,the option to buy or sell a given stock (or stock index or commodity future) at a given price before a given date; consists of an equal number of put and call options
incentive_option,an option granted to corporate executives if the company achieves certain financial goals
incentive_stock_option,an option granted to corporate executives if the company achieves certain financial goals
buying,the act of buying
purchasing,the act of buying
shopping,searching for or buying goods or services
marketing,shopping at a market
mail-order_buying,buying goods to be shipped through the mail
catalog_buying,buying goods to be shipped through the mail
viatication,purchasing insurance policies for cash from terminally ill policy holders
viaticus,purchasing insurance policies for cash from terminally ill policy holders
acceptance,the act of taking something that is offered
succession,acquisition of property by descent or by will
taking_over,acquisition of property by descent or by will
assumption,the act of taking possession of or power over something
laying_claim,the act of taking possession of or power over something
assumption,the act of assuming or taking for granted
position,the act of positing; an assumption taken as a postulate or axiom
inheritance,hereditary succession to a title or an office or property
heritage,hereditary succession to a title or an office or property
procurement,the act of getting possession of something
procurance,the act of getting possession of something
procural,the act of getting possession of something
appropriation,"a deliberate act of acquisition of something, often without the permission of the owner"
borrowing,the appropriation (of ideas or words etc) from another source
adoption,the appropriation (of ideas or words etc) from another source
naturalization,changing the pronunciation of a borrowed word to agree with the borrowers' phonology
naturalisation,changing the pronunciation of a borrowed word to agree with the borrowers' phonology
misappropriation,wrongful borrowing
preemption,a prior appropriation of something
pre-emption,a prior appropriation of something
seizure,the taking possession of something by legal process
usurpation,wrongfully seizing and holding (an office or powers) by force (especially the seizure of a throne or supreme authority)
confiscation,seizure by the government
arrogation,seizure by the government
distress,the seizure and holding of property as security for payment of a debt or satisfaction of a claim
distraint,the seizure and holding of property as security for payment of a debt or satisfaction of a claim
expropriation,taking out of an owner's hands (especially taking property by public authority)
impoundment,placing private property in the custody of an officer of the law
impounding,placing private property in the custody of an officer of the law
internment,placing private property in the custody of an officer of the law
poundage,placing private property in the custody of an officer of the law
drug_bust,seizure of illegal drugs by the police
drugs_bust,seizure of illegal drugs by the police
impress,the act of coercing someone into government service
impressment,the act of coercing someone into government service
occupation,the act of occupying or taking possession of a building
occupancy,the act of occupying or taking possession of a building
moving_in,the act of occupying or taking possession of a building
preoccupancy,the act of taking occupancy before someone else does
preoccupation,the act of taking occupancy before someone else does
sequestration,seizing property that belongs to someone else and holding it until profits pay the demand for which it was seized
requisition,seizing property that belongs to someone else and holding it until profits pay the demand for which it was seized
grant,the act of providing a subsidy
subsidization,the act of providing a subsidy
subsidisation,the act of providing a subsidy
award,a grant made by a law court
awarding,a grant made by a law court
addiction,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master
block_grant,a grant of federal money to state and local governments to support social welfare programs
grant-in-aid,a grant from a central government to a local government
capture,the act of forcibly dispossessing an owner of property
gaining_control,the act of forcibly dispossessing an owner of property
seizure,the act of forcibly dispossessing an owner of property
apprehension,the act of apprehending (especially apprehending a criminal)
arrest,the act of apprehending (especially apprehending a criminal)
catch,the act of apprehending (especially apprehending a criminal)
collar,the act of apprehending (especially apprehending a criminal)
pinch,the act of apprehending (especially apprehending a criminal)
taking_into_custody,the act of apprehending (especially apprehending a criminal)
conquest,the act of conquering
conquering,the act of conquering
subjection,the act of conquering
subjugation,the act of conquering
enslavement,the act of making slaves of your captives
restitution,getting something back again
return,getting something back again
restoration,getting something back again
regaining,getting something back again
clawback,finding a way to take money back from people that they were given in another way
repossession,the action of regaining possession (especially the seizure of collateral securing a loan that is in default)
foreclosure,the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default
reception,the act of receiving
receipt,the act of receiving
appointment,(law) the act of disposing of property by virtue of the power of appointment
comb-out,the act of carefully weeding out unwanted things or people
giving,disposing of property by voluntary transfer without receiving value in return
abandonment,the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
discard,getting rid something that is regarded as useless or undesirable
throwing_away,getting rid something that is regarded as useless or undesirable
staging,getting rid of a stage of a multistage rocket
discard,(cards) the act of throwing out a useless card or of failing to follow suit
mine_disposal,the disposal of explosive mines
minesweeping,the activity of detecting and disposing of marine mines
sewage_disposal,the disposal of sewage
bait_and_switch,a deceptive way of selling that involves advertising a product at a very low price in order to attract customers who are then persuaded to switch to a more expensive product
private_treaty,a sale of property at a price agreed on by the seller and buyer without an intervening agency
auction,the public sale of something to the highest bidder
auction_sale,the public sale of something to the highest bidder
vendue,the public sale of something to the highest bidder
bootlegging,the act of making or transporting alcoholic liquor for sale illegally
bootlegging,the act of selling illegally or without permission
capitalization,the sale of capital stock
capitalisation,the sale of capital stock
overcapitalization,(business) too much capitalization (the sale of more stock than the business warrants)
overcapitalisation,(business) too much capitalization (the sale of more stock than the business warrants)
reclamation,the recovery of useful substances from waste products
rescue,recovery or preservation from loss or danger
deliverance,recovery or preservation from loss or danger
delivery,recovery or preservation from loss or danger
saving,recovery or preservation from loss or danger
lifesaving,saving the lives of drowning persons
redemption,(theology) the act of delivering from sin or saving from evil
salvation,(theology) the act of delivering from sin or saving from evil
absolution,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
remission,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
remittal,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
remission_of_sin,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
indulgence,the remission by the pope of the temporal punishment in purgatory that is still due for sins even after absolution
conversion,a spiritual enlightenment causing a person to lead a new life
rebirth,a spiritual enlightenment causing a person to lead a new life
spiritual_rebirth,a spiritual enlightenment causing a person to lead a new life
proselytism,the state of being a proselyte; spiritual rebirth resulting from the zeal of crusading advocacy of the gospel
expiation,the act of atoning for sin or wrongdoing (especially appeasing a deity)
atonement,the act of atoning for sin or wrongdoing (especially appeasing a deity)
propitiation,the act of atoning for sin or wrongdoing (especially appeasing a deity)
reparation,something done or paid in expiation of a wrong
amends,something done or paid in expiation of a wrong
liberation,the act of liberating someone or something
release,the act of liberating someone or something
freeing,the act of liberating someone or something
jail_delivery,the use of force to liberate prisoners
reclamation,rescuing from error and returning to a rightful course
reformation,rescuing from error and returning to a rightful course
salvage,the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
salvage,the act of saving goods or property that were in danger of damage or destruction
salvation,saving someone or something from harm or from an unpleasant situation
search_and_rescue_mission,a rescue mission to search for survivors and to rescue them
ransom,the act of freeing from captivity or punishment
recapture,the act of taking something back
retaking,the act of taking something back
recapture,a legal seizure by the government of profits beyond a fixed amount
invocation,the act of appealing for help
instrumentation,the act of providing or using the instruments needed for some implementation
performance,the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
execution,the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
