word,definition
Spanish_capital,the capital and largest city situated centrally in Spain; home of an outstanding art museum
Balearic_Islands,an archipelago in the western Mediterranean off the eastern coast of Spain
Majorca,the largest of the Balearic Islands
Canary_Islands,a group of mountainous islands in the Atlantic off the northwest coast of Africa forming Spanish provinces
Canaries,a group of mountainous islands in the Atlantic off the northwest coast of Africa forming Spanish provinces
Barcelona,a city in northeastern Spain on the Mediterranean; 2nd largest Spanish city and the largest port and commercial center; has been a center for radical political beliefs
Cadiz,an ancient port city in southwestern Spain
Cartagena,a port in southeastern Spain on the Mediterranean
Cordoba,a city in southern Spain; center of Moorish culture
Cordova,a city in southern Spain; center of Moorish culture
Granada,a city in southeastern Spain that was the capital of the Moorish kingdom until it was captured by Ferdinand and Isabella in 1492; site of the Alhambra (a palace and fortress built by Moors in the Middle Ages) which is now a major tourist attraction
Jerez,a city in southwestern Spain that is famous for making sherry
Jerez_de_la_Frontera,a city in southwestern Spain that is famous for making sherry
Leon,a city in northwestern Spain at the foot of the Cantabrian Mountains
Logrono,a city in northern Spain on the Ebro River
Malaga,a port city and resort in Andalusia in southern Spain on the Mediterranean
Oviedo,a city in northwestern Spain near the Cantabrian Mountains
San_Sebastian,a city in northern Spain on the Bay of Biscay near the French border; a fashionable seaside resort
Sevilla,a city in southwestern Spain; a major port and cultural center; the capital of bullfighting in Spain
Seville,a city in southwestern Spain; a major port and cultural center; the capital of bullfighting in Spain
Toledo,a city in central Spain on the Tagus river; famous for steel and swords since the first century
Aragon,a region of northeastern Spain; a former kingdom that united with Castile in 1479 to form Spain (after the marriage of Ferdinand V and Isabella I)
Zaragoza,an ancient city on the Ebro River in northeastern Spain; formerly the capital of Aragon
Saragossa,an ancient city on the Ebro River in northeastern Spain; formerly the capital of Aragon
Castile,a region of central Spain; a former kingdom that comprised most of modern Spain and united with Aragon to form Spain in 1479
Castilla,a region of central Spain; a former kingdom that comprised most of modern Spain and united with Aragon to form Spain in 1479
Catalonia,a region of northeastern Spain
Galicia,a region (and former kingdom) in northwestern Spain on the Atlantic and the Bay of Biscay
Leon,a historical area and former kingdom in northwestern Spain
Valencia,a city in eastern Spain on the Mediterranean
Tenerife,a Spanish island in the Atlantic off the northwestern coast of Africa; the largest of the Canary Islands
Gibraltar,location of a colony of the United Kingdom on a limestone promontory at the southern tip of Spain; strategically important because it can control the entrance of ships into the Mediterranean; one of the Pillars of Hercules
Rock_of_Gibraltar,location of a colony of the United Kingdom on a limestone promontory at the southern tip of Spain; strategically important because it can control the entrance of ships into the Mediterranean; one of the Pillars of Hercules
Calpe,location of a colony of the United Kingdom on a limestone promontory at the southern tip of Spain; strategically important because it can control the entrance of ships into the Mediterranean; one of the Pillars of Hercules
Sudan,a region of northern Africa to the south of the Sahara and Libyan deserts; extends from the Atlantic to the Red Sea
Soudan,a region of northern Africa to the south of the Sahara and Libyan deserts; extends from the Atlantic to the Red Sea
Sudan,a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
Republic_of_the_Sudan,a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
Soudan,a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
Darfur,an impoverished region of western Sudan
Kordofan,a mountainous province of central Sudan
Khartoum,the capital of Sudan located at the confluence of the Blue Nile and White Nile
capital_of_Sudan,the capital of Sudan located at the confluence of the Blue Nile and White Nile
Nyala,city in Sudan
Port_Sudan,port city in Sudan on the Red Sea
Omdurman,a city of Sudan; located in the central Sudan on the White Nile opposite Khartoum
Suriname,a republic in northeastern South America on the Atlantic; achieved independence from the Netherlands in 1975
Republic_of_Suriname,a republic in northeastern South America on the Atlantic; achieved independence from the Netherlands in 1975
Surinam,a republic in northeastern South America on the Atlantic; achieved independence from the Netherlands in 1975
Dutch_Guiana,a republic in northeastern South America on the Atlantic; achieved independence from the Netherlands in 1975
Netherlands_Guiana,a republic in northeastern South America on the Atlantic; achieved independence from the Netherlands in 1975
Paramaribo,the capital and largest city and major port of Surinam
capital_of_Suriname,the capital and largest city and major port of Surinam
Swaziland,a landlocked monarchy in southeastern Africa; member of the commonwealth that achieved independence from the United Kingdom in 1968
Kingdom_of_Swaziland,a landlocked monarchy in southeastern Africa; member of the commonwealth that achieved independence from the United Kingdom in 1968
Mbabane,capital of Swaziland; located in northwestern Swaziland
capital_of_Swaziland,capital of Swaziland; located in northwestern Swaziland
Switzerland,a landlocked federal republic in central Europe
Swiss_Confederation,a landlocked federal republic in central Europe
Suisse,a landlocked federal republic in central Europe
Schweiz,a landlocked federal republic in central Europe
Svizzera,a landlocked federal republic in central Europe
Swiss_canton,one of the cantons of Switzerland
Bern,the capital of Switzerland; located in western Switzerland
Berne,the capital of Switzerland; located in western Switzerland
capital_of_Switzerland,the capital of Switzerland; located in western Switzerland
Basel,a city in northwestern Switzerland
Basle,a city in northwestern Switzerland
Bale,a city in northwestern Switzerland
Geneva,a city in southwestern Switzerland at the western end of Lake Geneva; it is the headquarters of various international organizations
Geneve,a city in southwestern Switzerland at the western end of Lake Geneva; it is the headquarters of various international organizations
Genf,a city in southwestern Switzerland at the western end of Lake Geneva; it is the headquarters of various international organizations
Interlaken,a popular resort town in the Alps in west central Switzerland
Lausanne,a city in western Switzerland; cultural and commercial center
Zurich,the largest city in Switzerland; located in the northern part of the country
Syria,an Asian republic in the Middle East at the east end of the Mediterranean; site of some of the world's most ancient centers of civilization
Syrian_Arab_Republic,an Asian republic in the Middle East at the east end of the Mediterranean; site of some of the world's most ancient centers of civilization
Aram,the biblical name for ancient Syria
Dimash,"an ancient city (widely regarded as the world's oldest) and present capital and largest city of Syria; according to the New Testament, the Apostle Paul (then known as Saul) underwent a dramatic conversion on the road to Damascus"
Damascus,"an ancient city (widely regarded as the world's oldest) and present capital and largest city of Syria; according to the New Testament, the Apostle Paul (then known as Saul) underwent a dramatic conversion on the road to Damascus"
capital_of_Syria,"an ancient city (widely regarded as the world's oldest) and present capital and largest city of Syria; according to the New Testament, the Apostle Paul (then known as Saul) underwent a dramatic conversion on the road to Damascus"
Halab,a city in northwestern Syria
Aleppo,a city in northwestern Syria
Alep,a city in northwestern Syria
Al_Ladhiqiyah,a seaport on the western coast of Syria
Latakia,a seaport on the western coast of Syria
Tanzania,a republic in eastern Africa
United_Republic_of_Tanzania,a republic in eastern Africa
Dar_es_Salaam,the capital and largest port city of Tanzania on the Indian Ocean
capital_of_Tanzania,the capital and largest port city of Tanzania on the Indian Ocean
Dodoma,a city in the center of Tanzania that has been designated as the future capital
Tanganyika,a former state in East Africa; united with Zanzibar in 1964 to form Tanzania
Zanzibar,an island in the Indian Ocean off the east coast of Africa; part of the United Republic of Tanzania
Mbeya,a city in southwestern Tanzania
Mwanza,a city in northern Tanzania on Lake Victoria
Tabora,a city in western Tanzania
Tanga,a port city in northeastern Tanzania on the Indian Ocean
Serengeti,a vast plain in Tanzania to the west of the Great Rift Valley known for its wildlife
Serengeti_Plain,a vast plain in Tanzania to the west of the Great Rift Valley known for its wildlife
Serengeti_National_Park,a national park in Tanzania created in 1951 to protect the wildlife
Thailand,a country of southeastern Asia that extends southward along the Isthmus of Kra to the Malay Peninsula
Kingdom_of_Thailand,a country of southeastern Asia that extends southward along the Isthmus of Kra to the Malay Peninsula
Siam,a country of southeastern Asia that extends southward along the Isthmus of Kra to the Malay Peninsula
Bangkok,the capital and largest city and chief port of Thailand; a leading city in southeastern Asia; noted for Buddhist architecture
capital_of_Thailand,the capital and largest city and chief port of Thailand; a leading city in southeastern Asia; noted for Buddhist architecture
Krung_Thep,the capital and largest city and chief port of Thailand; a leading city in southeastern Asia; noted for Buddhist architecture
Tonga,a monarchy on a Polynesian archipelago in the South Pacific; achieved independence from the United Kingdom in 1970
Kingdom_of_Tonga,a monarchy on a Polynesian archipelago in the South Pacific; achieved independence from the United Kingdom in 1970
Friendly_Islands,a monarchy on a Polynesian archipelago in the South Pacific; achieved independence from the United Kingdom in 1970
Tunisia,a republic in northwestern Africa on the Mediterranean coast; achieved independence from France in 1956
Republic_of_Tunisia,a republic in northwestern Africa on the Mediterranean coast; achieved independence from France in 1956
Tunis,the capital and principal port of Tunisia
capital_of_Tunisia,the capital and principal port of Tunisia
Ariana,city in Tunisia
Ehadhamen,city in Tunisia
Gafsa,a city in west central Tunisia
Sfax,the second largest city in Tunisia; located in eastern Tunisia near a phosphate region
Safaqis,the second largest city in Tunisia; located in eastern Tunisia near a phosphate region
Sousse,a port city in eastern Tunisia on the Mediterranean
Susa,a port city in eastern Tunisia on the Mediterranean
Susah,a port city in eastern Tunisia on the Mediterranean
Ottoman_Empire,a Turkish sultanate of southwestern Asia and northeastern Africa and southeastern Europe; created by the Ottoman Turks in the 13th century and lasted until the end of World War I; although initially small it expanded until it superseded the Byzantine Empire
Turkish_Empire,a Turkish sultanate of southwestern Asia and northeastern Africa and southeastern Europe; created by the Ottoman Turks in the 13th century and lasted until the end of World War I; although initially small it expanded until it superseded the Byzantine Empire
Kurdistan,an extensive geographical region in the Middle East to the south of the Caucasus
Iraqi_Kurdistan,the part of Kurdistan that is in northwestern Iraq
Turkey,"a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923"
Republic_of_Turkey,"a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923"
Abydos,an ancient Greek colony on the Asiatic side of the Dardanelles; scene of the legend of Hero and Leander
Adana,a city in southern Turkey on the Seyhan River
Seyhan,a city in southern Turkey on the Seyhan River
Ankara,the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats
Turkish_capital,the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats
capital_of_Turkey,the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats
Angora,the capital of Turkey; located in west-central Turkey; it was formerly known as Angora and is the home of Angora goats
Antalya,a port city in southwestern Turkey on the Gulf of Antalya
Adalia,a port city in southwestern Turkey on the Gulf of Antalya
Antioch,a town in southern Turkey; ancient commercial center and capital of Syria; an early center of Christianity
Antakya,a town in southern Turkey; ancient commercial center and capital of Syria; an early center of Christianity
Antakiya,a town in southern Turkey; ancient commercial center and capital of Syria; an early center of Christianity
Chalcedon,a former town on the Bosporus (now part of Istanbul); site of the Council of Chalcedon
Kadikoy,a former town on the Bosporus (now part of Istanbul); site of the Council of Chalcedon
Dardanelles,the strait between the Aegean and the Sea of Marmara that separates European Turkey from Asian Turkey
Canakkale_Bogazi,the strait between the Aegean and the Sea of Marmara that separates European Turkey from Asian Turkey
Hellespont,the strait between the Aegean and the Sea of Marmara that separates European Turkey from Asian Turkey
Halicarnassus,an ancient Greek city on the southwestern coast of Asia Minor in what is now Turkey; site of the mausoleum at Halicarnassus
Istanbul,the largest city and former capital of Turkey; rebuilt on the site of ancient Byzantium by Constantine I in the fourth century; renamed Constantinople by Constantine who made it the capital of the Byzantine Empire; now the seat of the Eastern Orthodox Church
Stambul,the largest city and former capital of Turkey; rebuilt on the site of ancient Byzantium by Constantine I in the fourth century; renamed Constantinople by Constantine who made it the capital of the Byzantine Empire; now the seat of the Eastern Orthodox Church
Stamboul,the largest city and former capital of Turkey; rebuilt on the site of ancient Byzantium by Constantine I in the fourth century; renamed Constantinople by Constantine who made it the capital of the Byzantine Empire; now the seat of the Eastern Orthodox Church
Constantinople,the largest city and former capital of Turkey; rebuilt on the site of ancient Byzantium by Constantine I in the fourth century; renamed Constantinople by Constantine who made it the capital of the Byzantine Empire; now the seat of the Eastern Orthodox Church
Bursa,a city in northwestern Turkey
Brusa,a city in northwestern Turkey
Izmir,a port city in western Turkey
Smyrna,a port city in western Turkey
Pergamum,an ancient Greek city located in the western part of what is now modern Turkey; the technique of preparing sheepskins as parchment was developed here
Sardis,an ancient Greek city located in the western part of what is now modern Turkey; as the capital of Lydia it was the cultural center of Asia Minor; destroyed by Tamerlane in 1402
Ionia,region of western Asia Minor colonized by ancient Greeks
Uganda,a landlocked republic in eastern Africa; achieved independence from the United Kingdom in 1962
Republic_of_Uganda,a landlocked republic in eastern Africa; achieved independence from the United Kingdom in 1962
Buganda,a state of Uganda and site of a former Bantu kingdom
Entebbe,a town in southern Uganda on Lake Victoria; site of an international airport (where in 1976 Israeli commandos rescued hostages held aboard a plane by Palestinian hijackers)
Jinja,a city in Uganda on the north shore of Lake Victoria
Kampala,the capital and largest city of Uganda on the north shore of Lake Victoria
capital_of_Uganda,the capital and largest city of Uganda on the north shore of Lake Victoria
Gulu,a city in northern Uganda
United_Arab_Emirates,a federation of seven Arab emirates on the eastern Arabian peninsula; achieved independence from the United Kingdom in 1971; rich in oil reserves
Abu_Dhabi,a sheikhdom of eastern Arabia and capital of the United Arab Emirates
United_Arab_Emirates's_capital,a sheikhdom of eastern Arabia and capital of the United Arab Emirates
Dubai,port city in the United Arab Emirates on the Persian Gulf
United_States,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
United_States_of_America,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
America,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
the_States,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
US,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
U.S.,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
USA,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
U.S.A.,North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
East_Coast,the eastern seaboard of the United States (especially the strip between Boston and Washington D.C.)
West_Coast,the western seaboard of the United States from Washington to southern California
Colony,one of the 13 British colonies that formed the original states of the United States
New_England,a region of northeastern United States comprising Maine and New Hampshire and Vermont and Massachusetts and Rhode Island and Connecticut
Mid-Atlantic_states,a region of the eastern United States comprising New York and New Jersey and Pennsylvania and Delaware and Maryland
Gulf_States,a region of the United States comprising states bordering the Gulf of Mexico; Alabama and Florida and Louisiana and Mississippi and Texas
slave_state,any of the southern states in which slavery was legal prior to the American Civil War
free_state,any state prohibiting slavery prior to the American Civil War
Confederacy,the southern states that seceded from the United States in 1861
Confederate_States,the southern states that seceded from the United States in 1861
Confederate_States_of_America,the southern states that seceded from the United States in 1861
South,the southern states that seceded from the United States in 1861
Dixie,the southern states that seceded from the United States in 1861
Dixieland,the southern states that seceded from the United States in 1861
South,the region of the United States lying to the south of the Mason-Dixon line
Deep_South,the southeastern region of the United States: South Carolina and Georgia and Alabama and Mississippi and Louisiana; prior to the American Civil War all these states produced cotton and permitted slavery
Old_South,the South of the United States before the American Civil War
Sunbelt,states in the south and southwest that have a warm climate and tend to be politically conservative
Tidewater,the coastal plain of the South: eastern parts of Virginia and North Carolina and South Carolina and Georgia
Tidewater_region,the coastal plain of the South: eastern parts of Virginia and North Carolina and South Carolina and Georgia
Piedmont,the plateau between the coastal plain and the Appalachian Mountains: parts of Virginia and North and South Carolina and Georgia and Alabama
Union,the United States (especially the northern states during the American Civil War)
North,the United States (especially the northern states during the American Civil War)
North,the region of the United States lying to the north of the Mason-Dixon line
Carolina,the area of the states of North Carolina and South Carolina
Carolinas,the area of the states of North Carolina and South Carolina
Dakota,the area of the states of North Dakota and South Dakota
Alabama,a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
Heart_of_Dixie,a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
Camellia_State,a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
AL,a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
Montgomery,the state capital of Alabama on the Mobile River
capital_of_Alabama,the state capital of Alabama on the Mobile River
Birmingham,the largest city in Alabama; located in northeastern Alabama
Pittsburgh_of_the_South,the largest city in Alabama; located in northeastern Alabama
Decatur,a town in northern Alabama on the Tennessee River
Gadsden,an industrial town in north central Alabama
Huntsville,a city in northern Alabama; center for space research
Mobile,a port in southwestern Alabama on Mobile Bay
Selma,a town in central Alabama on the Alabama river; in 1965 it was the center of a drive to register Black voters
Tuscaloosa,a university town in west central Alabama
Tuskegee,a town in eastern Alabama
Alaska,a state in northwestern North America; the 49th state admitted to the union
Last_Frontier,a state in northwestern North America; the 49th state admitted to the union
AK,a state in northwestern North America; the 49th state admitted to the union
Juneau,the state capital of Alaska
capital_of_Alaska,the state capital of Alaska
Anchorage,a city in south central Alaska
Nome,a town in western Alaska on the southern coast of the Seward Peninsula; an important center of an Alaskan gold rush at the beginning of the 20th century
Sitka,a town in southeastern Alaska that was the capital of Russian America and served as the capital of Alaska from 1867 until 1906
Skagway,a town in southeastern Alaska at the northern end of the Inside Passage; a gateway to the Klondike during the Alaskan gold rush
Valdez,a port on Alaska's southern coast from which oil is shipped to markets around the world
Seward_Peninsula,a peninsula in western Alaska that projects westward into the Bering Sea just below the Arctic Circle
Alexander_Archipelago,a group of islands off southeastern Alaska
Admiralty_Island,an Alaskan island in the Alexander Archipelago near Juneau
Arizona,a state in southwestern United States; site of the Grand Canyon
Grand_Canyon_State,a state in southwestern United States; site of the Grand Canyon
AZ,a state in southwestern United States; site of the Grand Canyon
Flagstaff,a town in north central Arizona; site of an important observatory
Mesa,a city in Arizona just to the east of Phoenix; originally a suburb of Phoenix
Nogales,"a town in Arizona on the Mexican border opposite Nogales, Mexico"
Phoenix,the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation
capital_of_Arizona,the state capital and largest city located in south central Arizona; situated in a former desert that has become a prosperous agricultural area thanks to irrigation
Prescott,a town in central Arizona
Sun_City,a residential suburb of Phoenix
Tucson,a city in southeastern Arizona ringed by mountain ranges; long known as a winter and health resort but the population shift from industrial states to the Sunbelt resulted in rapid growth late in the 20th century
Yuma,a town in southwestern Arizona on the Colorado River and the California border
Arkansas,a state in south central United States; one of the Confederate states during the American Civil War
Land_of_Opportunity,a state in south central United States; one of the Confederate states during the American Civil War
AR,a state in south central United States; one of the Confederate states during the American Civil War
Fayetteville,a university town in northwestern Arkansas in the Ozarks
Fort_Smith,a town in western Arkansas on the Arkansas River at the Oklahoma border
Hot_Springs,a town in west central Arkansas; a health resort noted for thermal springs
Jonesboro,a town in northeast Arkansas
Little_Rock,the state capital and largest city of Arkansas in the central part of Arkansas on the Arkansas River
capital_of_Arkansas,the state capital and largest city of Arkansas in the central part of Arkansas on the Arkansas River
Pine_Bluff,a town in southeast central Arkansas on the Arkansas River
Texarkana,"a town in southwest Arkansas on the Texas border adjacent to Texarkana, Texas"
California,a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
Golden_State,a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
CA,a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
Calif.,a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
Anaheim,a city in southern California (southeast of Los Angeles); site of Disneyland
Disneyland,an amusement park in Anaheim created in 1955 by Walt Disney
Bakersfield,a city in south central California at the southern end of the San Joaquin Valley
Barstow,a town in southeastern California
Berkeley,a city in California on the eastern shore of San Francisco Bay; site of the University of California at Berkeley
Beverly_Hills,a city in southwestern California surrounded by Los Angeles; home of many Hollywood actors
Chula_Vista,an industrial city in southern California (south of San Diego) near the Mexican border
Eureka,a town in northwest California on an arm of the Pacific Ocean
Fresno,a city in south central California in the San Joaquin Valley; center of an important agricultural area and gateway to the Sierra Nevada Mountains
Long_Beach,a city in southern California located on 8.5 miles of Pacific beachfront; was a resort until oil was discovered in 1921
Los_Angeles,a city in southern California; motion picture capital of the world; most populous city of California and second largest in the United States
City_of_the_Angels,a city in southern California; motion picture capital of the world; most populous city of California and second largest in the United States
Hollywood,a district of Los Angeles long associated with the American film industry
Monterey,a town in western California to the south of San Francisco on a peninsula at the southern end of Monterey Bay
Oakland,a city in western California on San Francisco Bay opposite San Francisco; primarily and industrial urban center
Palo_Alto,a university town in California
Pasadena,a city in southwestern California to the east of Los Angeles
Redding,a town in north central California on the Sacramento River
Riverside,a city in southern California
Sacramento,a city in north central California 75 miles to the northeast of San Francisco on the Sacramento River; capital of California
capital_of_California,a city in north central California 75 miles to the northeast of San Francisco on the Sacramento River; capital of California
San_Bernardino,a city in southern California to the east of Los Angeles
San_Diego,a picturesque city of southern California on San Diego Bay near the Mexican border; site of an important naval base
San_Francisco,a port in western California near the Golden Gate that is one of the major industrial and transportation centers; it has one of the world's finest harbors; site of the Golden Gate Bridge
Nob_Hill,a fashionable neighborhood in San Francisco
San_Jose,a city in western California located at the southern end of San Francisco Bay to the south of San Francisco; a center for computer and electronics industries
San_Mateo,a town in California to the south of San Francisco
San_Pablo,a town in western California to the north of Oakland on an arm of San Francisco Bay
Santa_Ana,a city in southern California to the east of Long Beach
Santa_Barbara,a town in southwestern California on the Pacific Ocean
Santa_Clara,a city of west central California; residential area with light industry
Santa_Catalina,an island resort in the Pacific off the southwestern coast of California
Catalina_Island,an island resort in the Pacific off the southwestern coast of California
Santa_Cruz,a town in western California on Monterey Bay; a tourist center
Colorado,a state in west central United States in the Rocky Mountains
Centennial_State,a state in west central United States in the Rocky Mountains
CO,a state in west central United States in the Rocky Mountains
Boulder,a town in north central Colorado; Rocky Mountains resort center and university town
Colorado_Springs,a city in east central Colorado on the eastern edge of the Rocky Mountains; popular tourist center and site of the United States Air Force Academy
Denver,the state capital and largest city of Colorado; located in central Colorado on the South Platte river
Mile-High_City,the state capital and largest city of Colorado; located in central Colorado on the South Platte river
capital_of_Colorado,the state capital and largest city of Colorado; located in central Colorado on the South Platte river
Pueblo,a city in Colorado to the south of Colorado Springs
Connecticut,a New England state; one of the original 13 colonies
Nutmeg_State,a New England state; one of the original 13 colonies
Constitution_State,a New England state; one of the original 13 colonies
CT,a New England state; one of the original 13 colonies
Connecticut,one of the British colonies that formed the United States
Bridgeport,a port in southwestern Connecticut on Long Island Sound
Farmington,a residential town in central Connecticut
Hartford,the state capital of Connecticut; located in central Connecticut on the Connecticut river; a center of the insurance business
capital_of_Connecticut,the state capital of Connecticut; located in central Connecticut on the Connecticut river; a center of the insurance business
New_Haven,a city in southwestern Connecticut; site of Yale University
New_London,a town in southeastern Connecticut near Long Island Sound; an important whaling center in the 19th century
Waterbury,a city in west central Connecticut
Delaware,a Mid-Atlantic state; one of the original 13 colonies
Diamond_State,a Mid-Atlantic state; one of the original 13 colonies
First_State,a Mid-Atlantic state; one of the original 13 colonies
DE,a Mid-Atlantic state; one of the original 13 colonies
Delaware,one of the British colonies that formed the United States
Dover,the capital of the state of Delaware
capital_of_Delaware,the capital of the state of Delaware
Wilmington,the largest city in Delaware
District_of_Columbia,the district occupied entirely by the city of Washington; chosen by George Washington as the site of the capital of the United States and created out of land ceded by Maryland and Virginia
D.C.,the district occupied entirely by the city of Washington; chosen by George Washington as the site of the capital of the United States and created out of land ceded by Maryland and Virginia
DC,the district occupied entirely by the city of Washington; chosen by George Washington as the site of the capital of the United States and created out of land ceded by Maryland and Virginia
Washington,the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791
Washington_D.C.,the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791
American_capital,the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791
capital_of_the_United_States,the capital of the United States in the District of Columbia and a tourist mecca; George Washington commissioned Charles L'Enfant to lay out the city in 1791
Potomac,"term sometimes used to refer to Washington, D.C."
Capitol_Hill,"a hill in Washington, D.C., where the Capitol Building sits and Congress meets"
the_Hill,"a hill in Washington, D.C., where the Capitol Building sits and Congress meets"
Georgetown,"a section of northwestern Washington, D.C."
Florida,a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War
Sunshine_State,a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War
Everglade_State,a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War
FL,a state in southeastern United States between the Atlantic and the Gulf of Mexico; one of the Confederate states during the American Civil War
Daytona_Beach,a resort town in northeast Florida on the Atlantic coast; hard white beaches have been used for automobile speed trials
Fort_Lauderdale,a city in southeast Florida on the Atlantic coast to the north of Miami; a favorite place for college students to go on their spring vacations
Fort_Myers,a town in southwest Florida
Gainesville,a university town in north central Florida
Jacksonville,Florida's largest city; a port and important commercial center in northeastern Florida
Key_West,a town on the westernmost of the Florida keys in the Gulf of Mexico
Melbourne,a resort town in east central Florida
Miami,a city and resort in southeastern Florida on Biscayne Bay; the best known city in Florida; a haven for retirees and a refuge for Cubans fleeing Castro
Miami_Beach,a city in southeastern Florida on an island between Biscayne Bay and the Atlantic Ocean; known for fashionable resort hotels
Orlando,a city in central Florida; site of Walt Disney World
Palm_Beach,a resort town in southeast Florida on an island on the Atlantic coast
Panama_City,a resort and fishing town on the Gulf of Mexico in northwest Florida
Pensacola,a town in extreme northwest Florida
Sarasota,a town in west central Florida on the Gulf of Mexico
St._Augustine,a resort city in northeastern Florida; the oldest city in the United States
Saint_Augustine,a resort city in northeastern Florida; the oldest city in the United States
St._Petersburg,a city in western Florida on Tampa Bay; a popular winter resort
Saint_Petersburg,a city in western Florida on Tampa Bay; a popular winter resort
Tallahassee,capital of the state of Florida; located in northern Florida
capital_of_Florida,capital of the state of Florida; located in northern Florida
Tampa,a resort city in western Florida; located on Tampa Bay on the Gulf of Mexico
West_Palm_Beach,a town in southeast Florida on the mainland opposite Palm Beach; founded as a commercial center for Palm Beach
Walt_Disney_World,a large amusement park established in 1971 to the southwest of Orlando
Georgia,a state in southeastern United States; one of the Confederate states during the American Civil War
Empire_State_of_the_South,a state in southeastern United States; one of the Confederate states during the American Civil War
Peach_State,a state in southeastern United States; one of the Confederate states during the American Civil War
GA,a state in southeastern United States; one of the Confederate states during the American Civil War
Georgia,one of the British colonies that formed the United States
Albany,a town in southwest Georgia; processing center for peanuts and pecans
Atlanta,state capital and largest city of Georgia; chief commercial center of the southeastern United States; was plundered and burned by Sherman's army during the American Civil War
capital_of_Georgia,state capital and largest city of Georgia; chief commercial center of the southeastern United States; was plundered and burned by Sherman's army during the American Civil War
Athens,a university town in northeast Georgia
Augusta,a city in eastern Georgia north-northwest of Savannah; noted for golf tournaments
Brunswick,a town in southeast Georgia near the Atlantic coast; a port of entry
Columbus,a city in western Georgia on the Chattahoochee River; industrial center
Macon,a city in central Georgia to the southeast of Atlanta
Oxford,a university town in northern Mississippi; home of William Faulkner
Savannah,a port in eastern Georgia near the mouth of the Savannah river
Valdosta,a town in southern Georgia near the Florida border
Vidalia,a town in central Georgia; the origin of Vidalia onions
Hawaii,a state in the United States in the central Pacific on the Hawaiian Islands
Hawai'i,a state in the United States in the central Pacific on the Hawaiian Islands
Aloha_State,a state in the United States in the central Pacific on the Hawaiian Islands
HI,a state in the United States in the central Pacific on the Hawaiian Islands
Hilo,a town in Hawaii on the island of Hawaii
Honolulu,the capital and largest city of Hawaii; located on a large bay on the island of Oahu
capital_of_Hawaii,the capital and largest city of Hawaii; located on a large bay on the island of Oahu
Hawaiian_capital,the capital and largest city of Hawaii; located on a large bay on the island of Oahu
